player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
Gryff		1205	280	-11	390	248	168	147	983	16	4011	334	76	576	58	8	62	37	35	4	14	0	143	141	4	7295	
Curry		1065	280	8	401	260	156	141	890	11	4211	356	56	576	54	6	46	28	34	2	23	0	173	145	0	7165	
ccga4	SNI	999	280	-14	284	287	217	199	1406	15	3035	235	62	576	71	12	76	45	50	4	25	0	85	85	3	7548	
raymond53		195	80	-11	39	112	85	79	494	5	286	33	16	180	28	5	19	8	17	2	11	0	11	9	0	2151	
Iblis		236	80	-11	83	68	31	31	144	0	1330	79	18	180	11	1	9	7	8	0	2	0	43	28	0	2151	
ooo killem		678	200	-8	141	322	286	266	1961	17	960	118	53	432	85	18	80	59	80	6	28	0	37	30	4	5341	
Mr. Hat	HGW	982	280	-14	312	576	514	482	3195	28	765	238	86	576	180	27	130	78	88	8	41	1	59	53	5	7548	
KOBE*BRYANT		712	200	2	179	343	290	268	2107	20	527	139	40	450	89	27	72	48	53	4	32	2	30	27	2	5140	
Ty	LAA	1372	280	37	425	230	143	125	922	16	4890	358	98	576	46	7	54	28	29	3	16	1	166	146	6	6662	
pulpo		873	280	37	136	522	472	423	2651	42	906	99	56	576	156	23	119	77	120	13	33	4	37	30	2	6662	
grumpy		1156	280	37	357	190	117	106	654	9	5180	299	72	576	38	4	41	29	25	0	16	2	123	118	2	6662	
PingPrisoner		958	240	-41	355	70	23	22	170	2	4581	302	59	486	7	2	8	4	1	0	4	1	147	127	3	5504	
DT	PKP	995	280	-24	224	397	358	323	2452	31	1218	186	69	576	107	23	92	56	81	10	31	1	62	53	3	7080	
Eashy		353	110	-21	155	106	57	56	281	0	2090	137	25	234	20	3	13	10	9	0	5	0	59	42	2	2549	
Maru		1025	280	37	233	486	434	396	3107	35	1187	177	65	576	133	40	105	70	87	8	48	2	52	44	3	6662	
Frozen		217	80	-13	54	131	118	111	668	6	228	46	18	180	38	5	31	21	20	0	5	0	11	11	2	1912	
EGGO		965	270	-20	303	294	225	206	1213	14	2698	247	79	549	68	6	55	38	47	4	23	1	104	96	0	7597	
gg!		965	280	-20	203	428	413	367	3425	40	629	174	52	576	92	45	134	92	85	10	43	9	59	48	3	7696	
CB13		624	160	-29	219	161	112	102	670	9	1827	197	41	342	31	4	28	20	23	2	8	2	91	76	4	4082	
Doris		1026	240	-6	381	199	131	118	812	11	3816	336	59	486	35	5	35	23	31	3	14	0	161	136	4	6294	
Pandora		768	200	-8	240	191	119	114	619	5	3076	198	59	432	52	5	33	26	27	2	11	0	89	67	0	5182	
777z		548	140	-7	206	103	57	55	330	1	2366	170	32	288	17	3	18	11	9	1	2	0	63	62	1	3683	
sun chips		928	280	-20	220	432	375	332	2405	34	934	160	79	576	111	18	95	63	111	14	31	3	51	43	6	7696	
DragonBeast	LAA	949	280	-12	218	458	415	378	2677	34	678	169	76	576	140	32	75	49	73	11	27	3	47	48	4	7526	
glob.		647	200	-23	165	349	293	268	1775	19	560	113	55	432	104	18	76	44	59	1	16	3	28	18	4	5859	
Spjork		1173	280	16	400	285	175	159	793	15	4134	339	70	576	62	4	47	34	40	4	23	2	133	100	4	7041	
Bamboozler		852	280	16	206	505	450	417	2914	28	773	150	62	576	144	32	126	74	83	10	40	1	38	37	3	7041	
yiss		624	160	4	213	116	41	37	247	4	2976	184	38	342	19	5	13	9	15	2	2	0	94	73	1	3670	
Wanye		1194	268	22	389	208	112	97	830	14	4811	337	72	549	38	9	38	29	32	4	10	2	169	159	1	6599	
Sherra		954	280	22	204	531	460	423	3090	35	683	150	69	576	138	34	111	71	95	9	46	5	59	51	0	6752	
Djinni		1233	280	16	396	227	148	133	948	13	4994	341	87	576	44	8	53	29	42	1	13	1	165	154	2	7041	
GOOBR		1083	280	22	246	489	446	404	2725	37	800	186	83	576	133	21	119	78	88	10	39	4	47	45	1	6752	
meX	QUE	1415	280	45	546	163	75	67	334	8	5420	462	93	576	34	1	23	13	12	2	3	0	222	214	2	5574	
Berry Fast		278	80	-4	109	75	43	43	206	0	1300	93	24	180	15	1	9	5	8	0	3	0	37	35	2	2058	
Frothy		1232	280	45	414	180	78	69	391	8	5530	368	52	576	27	1	20	15	26	3	1	0	202	186	5	5574	
BALLDON'TLIE	MBM	1239	280	45	220	478	459	398	2623	59	848	150	92	576	154	19	90	57	80	10	41	4	52	46	1	5574	
Tantrew		835	240	-13	182	426	369	331	2538	35	671	132	54	486	120	26	103	61	55	8	37	5	40	37	4	5925	
swerve		942	280	4	175	416	385	347	2581	37	843	125	75	588	105	26	115	77	95	13	28	2	37	35	3	7772	
Ball-erina	PKP	1043	276	45	168	451	452	393	2787	51	453	104	70	576	148	26	97	49	93	12	34	3	30	30	0	5574	
Armbranch	MIA	1152	280	-24	450	252	135	128	732	7	4484	381	74	576	47	5	23	15	38	3	11	0	195	181	4	7153	
Cheetosrule		898	280	-1	236	473	416	380	2601	32	948	180	79	576	138	22	111	75	72	7	34	2	60	51	4	6597	
protag		923	280	12	193	528	484	427	2857	49	563	131	68	576	138	21	120	85	111	15	31	4	34	30	1	7327	
Olivia Hye		1007	240	2	178	387	371	330	2624	38	632	144	79	504	105	27	92	60	85	12	34	1	42	39	1	5582	
waterwheel		1044	277	-33	341	273	181	161	1128	18	3700	273	79	576	59	12	36	24	41	6	24	3	119	98	3	7567	
intercest		892	280	-33	282	447	348	320	2294	26	760	206	71	576	108	25	92	61	75	7	39	2	51	47	6	7567	
Misaki		1131	280	-1	367	215	152	137	976	12	5181	304	69	576	54	11	47	33	39	5	20	1	133	117	5	6597	
C Bivvey		803	200	-20	287	190	111	104	510	7	3073	255	47	432	40	0	32	18	25	3	10	0	122	113	3	5384	
RacgiMan		1143	280	-1	367	258	157	142	829	12	4930	297	70	576	51	7	42	28	46	4	15	3	124	105	1	6597	
eee		352	90	-12	109	64	41	36	286	3	1015	94	33	207	6	2	11	6	14	1	4	0	38	35	0	2642	
First	KCX	760	240	-9	195	353	286	262	1686	20	1004	165	52	486	96	15	62	37	43	5	23	2	48	46	1	6301	
DAD.	2BP	33	12	-1	13	9	2	2	3	0	287	10	4	54	1	0	0	0	0	0	0	0	5	4	0	336	
#SelfySyntax	MIA	537	200	-22	135	373	320	295	1488	23	656	100	44	396	143	11	75	43	67	2	32	3	29	28	4	5058	
NEB.		594	170	-3	164	220	158	143	836	11	1591	125	55	342	54	5	39	27	34	3	10	0	50	44	0	4531	
AK 47		324	100	13	70	180	162	146	891	15	360	57	21	180	58	5	32	15	32	4	20	4	20	19	0	2373	
Suchit		547	120	7	185	117	92	76	616	14	1677	148	30	216	25	4	23	15	23	2	13	1	71	66	3	3053	
ez	MIA	772	200	19	183	295	267	235	1588	32	760	125	65	396	87	10	95	67	56	8	28	4	54	40	2	5014	
Fender	SNI	490	120	-12	114	211	196	175	1327	20	271	81	35	216	58	15	40	26	43	5	23	1	27	20	0	2803	
FLY		525	140	-13	195	133	70	66	447	4	1774	162	32	288	26	4	20	10	16	2	7	0	72	62	3	4013	
hz		491	120	18	146	112	72	62	562	9	1872	136	19	234	17	7	17	9	25	6	5	0	66	60	0	3082	
GeT_RiGhT		416	120	-9	164	121	71	66	332	4	1522	139	29	234	25	2	23	12	10	0	9	0	62	58	2	3578	
bubblez		0	2	-5	3	2	2	2	2	0	19	3	1	18	2	0	1	1	0	0	1	0	1	1	1	267	
omar		321	80	-6	115	81	49	44	257	3	1001	87	22	144	15	1	15	6	15	2	4	0	38	40	2	2207	
might dino	DPS	57	20	-6	16	30	21	19	149	2	96	13	4	36	6	2	7	5	2	0	6	1	3	2	0	680	
ref		313	80	-13	127	86	61	54	345	6	1114	101	19	144	29	4	14	7	10	2	10	2	45	49	0	2183	
q42		206	40	16	66	39	25	21	213	3	697	53	8	90	8	4	7	3	12	0	0	0	23	20	1	1303	
d0pe	QUE	101	40	-3	34	80	65	63	373	2	90	28	6	72	24	4	17	10	12	1	5	0	9	4	0	1015	
